name	        path
CID000000700	 3,
CID000000702	 1,
CID000000711	 8,9,
CID000000712	 2,11,
CID000000713	 2,6,
CID000000743	 3,5,
CID000000750	 1,2,3,4,5,6,8,10,
CID000000753	 1,3,
CID000000756	 1,8,
CID000000757	 1,3,11,
CID000000760	 1,2,4,5,10,11,
CID000000763	 5,
CID000000764	 4,
CID000000767	 2,4,
CID000000768	 6,
CID000000774	 5,
CID000000777	 8,
CID000000780	 5,8,11,
CID000000782	 5,
CID000000783	 2,
CID000000784	 1,
CID000000785	 5,11,
CID000000787	 2,
CID000000788	 8,
CID000000790	 4,
CID000000792	 5,
CID000000793	 5,
CID000000794	 5,
CID000000796	 8,
CID000000798	 5,10,
CID000000800	 5,
CID000000801	 5,
CID000000803	 5,
CID000000811	 1,
CID000000867	 3,4,6,
CID000000868	 1,2,4,6,11,
CID000000870	 1,
CID000000878	 2,5,
CID000000880	 1,5,
CID000000887	 1,2,10,
CID000000890	 1,
CID000000892	 1,10,
CID000000893	 2,
CID000000896	 5,
CID000000903	 5,
CID000000908	 4,
CID000000931	 11,
CID000000936	 8,
CID000000937	 8,10,
CID000000942	 8,
CID000000943	 2,
CID000000947	 2,
CID000000948	 2,
CID000000955	 8,
CID000000961	 2,
CID000000964	 1,2,5,
CID000000967	 4,
CID000000970	 1,2,5,10,
CID000000971	 1,4,11,
CID000000972	 1,
CID000000974	 4,
CID000000977	 1,2,
CID000000978	 8,11,
CID000000979	 5,8,9,10,
CID000000980	 11,
CID000000983	 2,
CID000000984	 3,
CID000000985	 3,
CID000000991	 11,
CID000000996	 5,11,
CID000000997	 5,10,
CID000000998	 5,11,
CID000000999	 5,11,
CID000001001	 5,
CID000001003	 2,
CID000001005	 1,2,5,6,
CID000001014	 3,
CID000001015	 3,
CID000001018	 5,
CID000001021	 8,
CID000001023	 2,
CID000001028	 5,10,
CID000001030	 1,
CID000001031	 1,
CID000001032	 1,8,11,
CID000001045	 5,6,10,
CID000001050	 8,
CID000001051	 8,
CID000001052	 8,
CID000001053	 8,
CID000001054	 8,
CID000001055	 8,
CID000001057	 11,
CID000001060	 1,2,5,6,8,10,11,
CID000001066	 5,6,8,
CID000001068	 2,
CID000001084	 2,
CID000001088	 5,
CID000001089	 6,
CID000001090	 6,
CID000001099	 2,5,6,
CID000001102	 5,6,10,
CID000001103	 5,6,
CID000001110	 1,2,5,8,
CID000001112	 1,2,5,8,
CID000001117	 2,4,5,10,
CID000001119	 5,
CID000001122	 1,
CID000001123	 2,3,6,
CID000001130	 8,
CID000001131	 8,
CID000001132	 1,5,8,
CID000001135	 4,
CID000001136	 8,
CID000001137	 8,
CID000001140	 11,
CID000001145	 2,
CID000001146	 2,
CID000001150	 5,10,
CID000001174	 4,6,8,
CID000001175	 4,
CID000001176	 4,5,8,11,
CID000001179	 8,
CID000001183	 10,11,
CID000001188	 4,10,
CID000001194	 5,10,
CID000001198	 1,2,
CID000001245	 5,
CID000001647	 6,
CID000001669	 5,10,
CID000001678	 6,
CID000001738	 5,
CID000001826	 5,
CID000001833	 5,
CID000001864	 5,
CID000002153	 10,
CID000002181	 10,
CID000002265	 11,
CID000002331	 11,
CID000002336	 11,
CID000002353	 10,
CID000002519	 10,
CID000002554	 11,
CID000002555	 11,
CID000002682	 3,
CID000002707	 11,
CID000002758	 9,
CID000002771	 11,
CID000002879	 11,
CID000002907	 11,
CID000002969	 3,
CID000003035	 1,11,
CID000003036	 1,11,
CID000003121	 11,
CID000003314	 10,
CID000003331	 11,
CID000003385	 11,
CID000003414	 6,
CID000003469	 5,11,
CID000003503	 9,
CID000003614	 5,
CID000003676	 11,
CID000003690	 11,
CID000003767	 11,
CID000003776	 1,
CID000003845	 5,
CID000003857	 6,
CID000003893	 3,10,
CID000004095	 11,
CID000004650	 11,
CID000004680	 10,
CID000004687	 10,
CID000004970	 10,
CID000004971	 8,
CID000004973	 8,
CID000005054	 11,
CID000005154	 10,
CID000005202	 5,
CID000005236	 11,
CID000005281	 3,
CID000005386	 11,
CID000005429	 10,
CID000005570	 8,
CID000005610	 2,5,10,
CID000005699	 5,
CID000005753	 3,
CID000005754	 3,
CID000005756	 3,
CID000005757	 3,
CID000005778	 11,
CID000005779	 1,
CID000005780	 1,
CID000005788	 11,
CID000005789	 4,
CID000005790	 11,
CID000005793	 1,10,
CID000005800	 5,11,
CID000005810	 5,
CID000005815	 5,
CID000005819	 5,
CID000005839	 3,
CID000005862	 2,5,6,8,10,
CID000005864	 3,
CID000005870	 3,
CID000005879	 3,
CID000005880	 3,
CID000005881	 3,11,
CID000005884	 2,6,
CID000005885	 2,6,8,11,
CID000005892	 2,8,11,
CID000005920	 5,
CID000005922	 11,
CID000005942	 5,
CID000005950	 2,5,6,10,
CID000005951	 1,2,3,5,6,10,
CID000005957	 2,4,9,
CID000005958	 1,10,
CID000005960	 2,5,6,8,10,
CID000005961	 1,2,4,5,6,
CID000005962	 5,8,10,
CID000005988	 1,
CID000005994	 3,
CID000005997	 3,9,11,
CID000006001	 11,
CID000006013	 3,11,
CID000006021	 4,
CID000006022	 2,4,9,
CID000006029	 4,
CID000006030	 4,
CID000006031	 4,9,
CID000006032	 10,
CID000006036	 1,
CID000006037	 8,
CID000006047	 5,10,
CID000006054	 5,
CID000006057	 2,5,6,8,9,10,
CID000006058	 6,
CID000006076	 4,
CID000006083	 4,9,
CID000006088	 5,
CID000006101	 11,
CID000006106	 5,10,
CID000006112	 8,
CID000006115	 11,
CID000006128	 3,11,
CID000006131	 4,
CID000006132	 4,
CID000006133	 4,
CID000006137	 5,10,
CID000006140	 5,6,10,
CID000006166	 3,
CID000006167	 10,
CID000006175	 4,
CID000006176	 4,7,
CID000006195	 11,
CID000006201	 11,
CID000006211	 4,
CID000006213	 2,
CID000006238	 3,
CID000006251	 1,
CID000006262	 5,6,10,
CID000006267	 5,6,
CID000006274	 5,6,
CID000006278	 11,
CID000006287	 5,6,8,10,
CID000006288	 5,8,10,
CID000006305	 5,10,
CID000006306	 5,6,10,
CID000006318	 1,11,
CID000006322	 5,6,10,
CID000006325	 5,11,
CID000006326	 11,
CID000006329	 2,
CID000006338	 11,
CID000006344	 11,
CID000006354	 11,
CID000006365	 11,
CID000006366	 11,
CID000006395	 2,
CID000006406	 6,
CID000006407	 11,
CID000006421	 11,
CID000006508	 5,
CID000006575	 11,
CID000006576	 11,
CID000006577	 11,
CID000006579	 11,
CID000006581	 11,
CID000006584	 1,
CID000006593	 11,
CID000006597	 11,
CID000006613	 6,8,
CID000006618	 11,
CID000006623	 11,
CID000006654	 9,
CID000006723	 8,
CID000006736	 5,
CID000006738	 11,
CID000006802	 4,
CID000006804	 4,
CID000006812	 11,
CID000006830	 4,8,
CID000006831	 4,
CID000006844	 11,
CID000006849	 11,
CID000006854	 1,11,
CID000006912	 1,8,
CID000006926	 11,
CID000006994	 11,
CID000006998	 11,
CID000007002	 11,
CID000007005	 11,
CID000007027	 1,
CID000007028	 5,
CID000007055	 11,
CID000007095	 1,11,
CID000007123	 11,
CID000007127	 10,
CID000007237	 11,
CID000007244	 11,
CID000007261	 11,
CID000007293	 10,
CID000007322	 11,
CID000007339	 1,4,5,8,
CID000007405	 6,
CID000007410	 11,
CID000007413	 11,
CID000007416	 11,
CID000007418	 11,
CID000007420	 5,11,
CID000007427	 1,
CID000007444	 11,
CID000007463	 11,
CID000007469	 11,
CID000007470	 11,
CID000007478	 11,
CID000007489	 11,
CID000007500	 11,
CID000007501	 11,
CID000007505	 11,
CID000007518	 11,
CID000007533	 11,
CID000007618	 3,
CID000007680	 5,11,
CID000007725	 11,
CID000007768	 11,
CID000007771	 11,
CID000007808	 11,
CID000007809	 11,
CID000007839	 11,
CID000007847	 11,
CID000007855	 11,
CID000007866	 6,
CID000007929	 11,
CID000007961	 11,
CID000007965	 11,
CID000007966	 11,
CID000007967	 11,
CID000008078	 11,
CID000008082	 10,
CID000008113	 3,
CID000008215	 3,
CID000008259	 11,
CID000008299	 1,
CID000008339	 4,
CID000008369	 9,
CID000008373	 11,
CID000008376	 11,
CID000008378	 10,
CID000008404	 11,
CID000008420	 11,
CID000008424	 10,
CID000008434	 8,
CID000008461	 11,
CID000008468	 11,
CID000008479	 11,
CID000008530	 11,
CID000008582	 4,
CID000008583	 4,
CID000008629	 1,3,4,9,10,
CID000008640	 11,
CID000008642	 11,
CID000008663	 11,
CID000008742	 5,
CID000008768	 10,
CID000008794	 6,11,
CID000008815	 10,
CID000008955	 3,
CID000008956	 3,
CID000008977	 4,
CID000008988	 5,
CID000009216	 1,11,
CID000009290	 1,
CID000009294	 5,
CID000009305	 5,
CID000009321	 2,11,
CID000009395	 11,
CID000009427	 11,
CID000009533	 11,
CID000009651	 10,
CID000009679	 4,
CID000009700	 4,
CID000009727	 5,
CID000009750	 5,10,
CID000009903	 3,
CID000009958	 11,
CID000010010	 5,
CID000010110	 1,6,
CID000010133	 3,
CID000010140	 3,
CID000010198	 10,
CID000010214	 2,4,7,
CID000010219	 10,
CID000010238	 2,4,10,
CID000010267	 1,
CID000010312	 11,
CID000010393	 5,
CID000010402	 9,
CID000010413	 1,2,
CID000010442	 3,
CID000010459	 3,
CID000010466	 3,
CID000010467	 3,
CID000010582	 9,
CID000010634	 3,
CID000010635	 3,
CID000010667	 11,
CID000010685	 5,
CID000010722	 11,
CID000010726	 10,
CID000010742	 11,
CID000010787	 11,
CID000010805	 5,
CID000011005	 3,
CID000011082	 10,
CID000011087	 11,
CID000011128	 6,
CID000011137	 11,
CID000011197	 3,
CID000011222	 3,
CID000011285	 11,
CID000011302	 3,
CID000011305	 11,
CID000011318	 11,
CID000011321	 5,
CID000011363	 5,
CID000011388	 10,
CID000011390	 11,
CID000011473	 11,
CID000011476	 11,
CID000011505	 11,
CID000011648	 6,
CID000011719	 10,
CID000011811	 5,
CID000011850	 1,
CID000011914	 11,
CID000011915	 5,11,
CID000011970	 5,11,
CID000012039	 5,8,9,10,
CID000012105	 11,
CID000012122	 5,11,
CID000012326	 6,
CID000012473	 5,
CID000012511	 11,
CID000012544	 3,
CID000012594	 3,
CID000012599	 4,
CID000012793	 11,
CID000013006	 11,
CID000013017	 11,
CID000013350	 11,
CID000013472	 11,
CID000013711	 4,
CID000013712	 4,
CID000013730	 4,
CID000013804	 3,
CID000013818	 6,
CID000013945	 4,
CID000014003	 4,
CID000014039	 11,
CID000014180	 8,
CID000014490	 11,
CID000014985	 8,
CID000015047	 4,
CID000015130	 11,
CID000015625	 1,11,
CID000015868	 3,
CID000015993	 4,
CID000016323	 1,11,
CID000016441	 9,
CID000016487	 11,
CID000016500	 1,
CID000016724	 9,
CID000016950	 5,
CID000017106	 1,
CID000017473	 1,
CID000018189	 5,
CID000018209	 11,
CID000018343	 11,
CID000018396	 1,7,
CID000018636	 1,11,
CID000018950	 1,
CID000018986	 5,
CID000019009	 10,
CID000019212	 9,
CID000019648	 10,
CID000019829	 11,
CID000020908	 11,
CID000021171	 10,
CID000021706	 4,
CID000021860	 5,
CID000023327	 6,
CID000023736	 2,
CID000023925	 8,
CID000023930	 2,
CID000024154	 1,
CID000024316	 4,
CID000024405	 9,
CID000024415	 11,
CID000024472	 11,
CID000024529	 2,
CID000024726	 11,
CID000025076	 6,
CID000025102	 10,
CID000025310	 1,
CID000025892	 11,
CID000026259	 2,
CID000026447	 9,
CID000026818	 8,
CID000028167	 11,
CID000028598	 11,
CID000029574	 11,
CID000029575	 1,11,
CID000029587	 11,
CID000029746	 9,
CID000031242	 11,
CID000031253	 9,
CID000031257	 6,
CID000031373	 11,
CID000031401	 3,
CID000031515	 11,
CID000033032	 1,2,5,6,8,10,
CID000033037	 1,
CID000033042	 10,
CID000033676	 11,
CID000034312	 11,
CID000034755	 5,9,10,
CID000035717	 1,
CID000035823	 1,11,
CID000036143	 9,10,
CID000036187	 1,11,
CID000036188	 1,11,
CID000036231	 1,11,
CID000036294	 10,
CID000037182	 11,
CID000037455	 11,
CID000037456	 11,
CID000037786	 11,
CID000038019	 1,11,
CID000038166	 4,
CID000038199	 1,11,
CID000038251	 1,11,
CID000038439	 1,11,
CID000039929	 1,11,
CID000040479	 1,11,
CID000041211	 4,
CID000041322	 11,
CID000041634	 6,8,
CID000041774	 10,
CID000042128	 1,11,
CID000042540	 1,11,
CID000044257	 8,
CID000047289	 11,
CID000047650	 1,11,
CID000050591	 5,
CID000050891	 1,11,
CID000051043	 1,11,
CID000051130	 1,11,
CID000051683	 10,
CID000053036	 1,11,
CID000057449	 5,
CID000060837	 11,
CID000060953	 11,
CID000060961	 4,
CID000061020	 9,
CID000061503	 1,
CID000062223	 1,
CID000062348	 11,
CID000062453	 10,
CID000063090	 1,11,
CID000064689	 1,
CID000064959	 4,10,
CID000064968	 4,
CID000064969	 5,
CID000065058	 4,
CID000065059	 4,
CID000065063	 4,
CID000065065	 5,
CID000065070	 4,
CID000065074	 8,
CID000065076	 3,
CID000065091	 4,
CID000065094	 3,
CID000065103	 4,
CID000065110	 4,5,
CID000065127	 1,
CID000065252	 3,
CID000065253	 8,
CID000065359	 6,
CID000065369	 1,
CID000065517	 3,
CID000065523	 6,
CID000065533	 1,3,9,10,
CID000065536	 10,
CID000065542	 3,
CID000065554	 3,
CID000065728	 3,
CID000066370	 1,
CID000066414	 3,
CID000066416	 3,
CID000066535	 4,
CID000066762	 8,
CID000066827	 11,
CID000067678	 5,
CID000068144	 5,
CID000068148	 10,
CID000068152	 1,2,4,6,
CID000068161	 10,
CID000068271	 8,
CID000068313	 5,
CID000068340	 6,
CID000068374	 10,
CID000068490	 11,
CID000068499	 8,
CID000068570	 3,
CID000068759	 6,
CID000068841	 2,5,10,
CID000069212	 11,
CID000069217	 5,
CID000069371	 8,
CID000069602	 5,
CID000069698	 8,
CID000069726	 10,
CID000070639	 10,
CID000070703	 8,
CID000070758	 11,
CID000070914	 5,
CID000070949	 5,
CID000071077	 5,
CID000071082	 6,10,
CID000071120	 5,
CID000071567	 5,
CID000071602	 11,
CID000071724	 10,
CID000072301	 10,
CID000072309	 10,
CID000072378	 10,
CID000072392	 10,
CID000072394	 10,
CID000072395	 10,
CID000072396	 10,
CID000072423	 8,
CID000072886	 5,6,
CID000072924	 8,
CID000073145	 9,
CID000073170	 9,
CID000073323	 4,
CID000073491	 6,
CID000073563	 1,
CID000074128	 11,
CID000074688	 5,
CID000074839	 5,
CID000075049	 3,
CID000075704	 3,
CID000075810	 5,
CID000076230	 5,
CID000076406	 6,
CID000076543	 11,
CID000079014	 1,3,
CID000079038	 10,
CID000079129	 11,
CID000079437	 10,
CID000080220	 10,
CID000080283	 5,
CID000080801	 11,
CID000082400	 1,
CID000083833	 8,
CID000083852	 11,
CID000083863	 8,
CID000083887	 5,
CID000085782	 5,
CID000086492	 8,
CID000086962	 2,
CID000087642	 3,8,10,
CID000087833	 11,
CID000087916	 1,
CID000088052	 5,
CID000088299	 10,
CID000089594	 10,11,
CID000089954	 6,
CID000091443	 2,5,8,
CID000091477	 11,
CID000091486	 3,
CID000091493	 1,
CID000091528	 5,
CID000091531	 4,
CID000091552	 2,5,
CID000091580	 6,
CID000091611	 10,
CID000091619	 6,
CID000092094	 8,
CID000092097	 9,
CID000092110	 3,
CID000092133	 1,2,5,11,
CID000092135	 1,3,
CID000092136	 5,10,
CID000092150	 5,
CID000092153	 1,2,3,5,11,
CID000092155	 9,
CID000092180	 9,
CID000092258	 5,
CID000092283	 1,
CID000092729	 8,
CID000092745	 3,
CID000092746	 3,
CID000092753	 1,2,3,5,6,9,11,
CID000092786	 3,
CID000092805	 3,
CID000092810	 3,
CID000092824	 1,
CID000092832	 5,
CID000092851	 5,
CID000092886	 11,
CID000093072	 4,5,
CID000094140	 3,
CID000094141	 3,
CID000094154	 1,
CID000094221	 9,
CID000094715	 1,
CID000095155	 8,
CID000096215	 5,
CID000096356	 11,
CID000097165	 1,
CID000097588	 6,
CID000098792	 8,
CID000099289	 5,
CID000099290	 5,
CID000099303	 11,
CID000099456	 8,
CID000099470	 3,
CID000099478	 2,5,9,10,
CID000099735	 11,
CID000100221	 9,
CID000101184	 5,
CID000101399	 5,
CID000101543	 4,
CID000101615	 10,
CID000101690	 3,
CID000101770	 3,
CID000101771	 3,
CID000101788	 3,
CID000102030	 3,
CID000104756	 11,
CID000104757	 11,
CID000104842	 11,
CID000104856	 11,
CID000104896	 11,
CID000104940	 10,
CID000105021	 1,
CID000105024	 6,
CID000105074	 3,
CID000105131	 11,
CID000107541	 5,
CID000107689	 1,11,
CID000107722	 3,
CID000107737	 1,
CID000107744	 11,
CID000107758	 1,
CID000107812	 6,
CID000108012	 5,
CID000108081	 11,
CID000108121	 11,
CID000108192	 3,
CID000108214	 10,
CID000112071	 5,6,
CID000114683	 5,
CID000114833	 3,
CID000114857	 9,
CID000114861	 11,
CID000114935	 8,
CID000115015	 5,
CID000115084	 8,11,
CID000115098	 6,
CID000115196	 9,
CID000115254	 8,10,
CID000115255	 3,
CID000119033	 6,
CID000119055	 8,
CID000119219	 5,10,
CID000119400	 1,
CID000119405	 5,
CID000119412	 8,
CID000119521	 11,
CID000121396	 5,
CID000121885	 8,
CID000121893	 8,
CID000121920	 1,
CID000121935	 3,
CID000121947	 5,
CID000121948	 3,
CID000121966	 7,9,10,
CID000121969	 1,
CID000121991	 8,
CID000121997	 11,
CID000122121	 3,
CID000122250	 1,
CID000122283	 1,3,5,9,
CID000122336	 1,
CID000122340	 3,
CID000122347	 2,8,
CID000122356	 5,
CID000122357	 1,2,5,8,
CID000123658	 1,2,
CID000123727	 3,
CID000123743	 3,
CID000123762	 5,
CID000123865	 10,
CID000123895	 5,10,
CID000123938	 6,
CID000123991	 5,
CID000123996	 2,
CID000124143	 11,
CID000124886	 5,6,
CID000126041	 5,
CID000127115	 9,
CID000127370	 5,
CID000127601	 3,
CID000128419	 1,
CID000128869	 1,
CID000128888	 5,
CID000128973	 8,
CID000129274	 11,
CID000129297	 8,
CID000130805	 4,
CID000131204	 8,
CID000133246	 8,
CID000134459	 11,
CID000134466	 11,
CID000134490	 5,
CID000134970	 11,
CID000135191	 1,
CID000135243	 11,
CID000145068	 2,5,
CID000145729	 4,
CID000145742	 5,10,
CID000145815	 6,
CID000146302	 4,
CID000146903	 2,
CID000147004	 6,
CID000147311	 10,
CID000148196	 4,
CID000150833	 5,11,
CID000150841	 5,
CID000150855	 4,
CID000150856	 11,
CID000150891	 3,
CID000151066	 5,
CID000151104	 1,7,
CID000151187	 5,
CID000151228	 8,
CID000151244	 11,
CID000151276	 5,
CID000151426	 11,
CID000151438	 3,
CID000151725	 5,
CID000151926	 6,
CID000152306	 1,
CID000152441	 5,10,
CID000152657	 5,
CID000154417	 10,
CID000155957	 11,
CID000156652	 11,
CID000158980	 5,
CID000159278	 5,
CID000159296	 2,4,7,8,
CID000159911	 10,
CID000160139	 10,
CID000160226	 2,6,
CID000160433	 8,
CID000160487	 10,
CID000160499	 3,
CID000160500	 10,
CID000160520	 3,
CID000160531	 11,
CID000160556	 5,
CID000160603	 5,10,
CID000160617	 4,
CID000160636	 3,
CID000160647	 5,
CID000160666	 4,
CID000160913	 4,
CID000161165	 5,
CID000161214	 5,
CID000161227	 1,
CID000161233	 8,
CID000161255	 5,10,
CID000161276	 9,10,
CID000161355	 6,
CID000161500	 4,8,
CID000161597	 6,
CID000161824	 11,
CID000161937	 9,
CID000162180	 11,
CID000162204	 6,
CID000162350	 10,
CID000162602	 10,
CID000162976	 11,
CID000164628	 4,
CID000164673	 3,
CID000164674	 3,
CID000164697	 5,
CID000164719	 5,
CID000164735	 2,
CID000164800	 3,
CID000164838	 3,
CID000164853	 3,
CID000164874	 9,
CID000165003	 10,
CID000165007	 1,2,7,
CID000165130	 1,7,
CID000165186	 4,
CID000165271	 5,
CID000165331	 5,
CID000165381	 4,
CID000165388	 4,
CID000165390	 5,
CID000165435	 5,
CID000165436	 3,
CID000165490	 8,
CID000165511	 3,
CID000165620	 5,
CID000166760	 4,
CID000167489	 1,
CID000167685	 3,
CID000167759	 3,
CID000167775	 3,
CID000168166	 3,
CID000168718	 8,11,
CID000168934	 1,
CID000168951	 9,
CID000168989	 8,
CID000169075	 10,
CID000169508	 8,
CID000169621	 3,
CID000169732	 2,
CID000171161	 5,
CID000171548	 8,
CID000172312	 2,5,
CID000173183	 3,9,
CID000173719	 11,
CID000174174	 10,
CID000174549	 5,
CID000176951	 11,
CID000181740	 10,
CID000183009	 11,
CID000186004	 1,
CID000187790	 4,
CID000188288	 10,
CID000188960	 1,
CID000188966	 4,
CID000188984	 5,
CID000189003	 11,
CID000189062	 8,9,
CID000189122	 2,
CID000191190	 1,
CID000192735	 3,
CID000192781	 1,
CID000192878	 5,
CID000193002	 1,
CID000193187	 5,
CID000193305	 5,10,
CID000193321	 3,
CID000193396	 3,
CID000193425	 5,
CID000193475	 5,10,
CID000193524	 3,
CID000193537	 1,
CID000193545	 5,
CID000193577	 8,
CID000193735	 5,
CID000193886	 1,2,
CID000194139	 9,
CID000194140	 9,10,
CID000194428	 10,
CID000194695	 5,
CID000196146	 8,
CID000196427	 8,
CID000197189	 10,
CID000201434	 1,
CID000203442	 10,
CID000219833	 3,
CID000221493	 3,
CID000222284	 3,
CID000222528	 3,
CID000222656	 1,2,
CID000222786	 3,
CID000222865	 3,11,
CID000223997	 3,
CID000225936	 1,
CID000228215	 10,
CID000244872	 3,
CID000246873	 3,
CID000246983	 3,
CID000247304	 3,
CID000250388	 4,
CID000252379	 3,
CID000259846	 9,
CID000275196	 10,
CID000330573	 9,
CID000348154	 5,
CID000351795	 5,
CID000369312	 9,
CID000387316	 3,
CID000398937	 10,
CID000439153	 2,
CID000439155	 5,
CID000439160	 1,2,
CID000439162	 3,
CID000439163	 1,
CID000439167	 1,2,4,6,
CID000439168	 1,2,8,10,
CID000439174	 1,
CID000439175	 2,5,8,
CID000439176	 5,9,
CID000439178	 1,
CID000439183	 1,2,3,5,10,
CID000439184	 1,2,7,8,
CID000439186	 1,
CID000439190	 1,2,
CID000439191	 1,2,
CID000439192	 1,
CID000439193	 1,
CID000439194	 1,2,3,5,
CID000439195	 1,
CID000439197	 1,
CID000439203	 1,
CID000439204	 1,
CID000439205	 1,
CID000439213	 1,
CID000439215	 1,
CID000439216	 4,
CID000439220	 4,
CID000439227	 5,10,
CID000439231	 1,
CID000439232	 5,
CID000439233	 5,
CID000439235	 5,10,
CID000439236	 1,4,
CID000439237	 2,8,
CID000439240	 1,
CID000439242	 1,
CID000439244	 1,
CID000439245	 1,
CID000439249	 3,
CID000439250	 9,
CID000439251	 8,
CID000439255	 1,
CID000439258	 5,
CID000439260	 5,
CID000439264	 1,
CID000439269	 4,
CID000439273	 1,
CID000439276	 3,
CID000439278	 1,2,3,5,
CID000439279	 1,9,
CID000439280	 5,
CID000439281	 1,
CID000439283	 5,
CID000439284	 1,
CID000439285	 3,
CID000439286	 5,10,
CID000439288	 1,
CID000439290	 1,
CID000439292	 9,10,
CID000439294	 1,10,
CID000439296	 4,
CID000439303	 8,
CID000439312	 1,
CID000439314	 1,
CID000439315	 1,
CID000439316	 5,10,
CID000439319	 5,
CID000439322	 8,10,
CID000439343	 1,
CID000439350	 1,
CID000439351	 5,
CID000439357	 1,
CID000439373	 1,
CID000439375	 5,
CID000439376	 5,
CID000439377	 2,
CID000439383	 8,
CID000439389	 5,
CID000439394	 1,5,
CID000439399	 1,
CID000439402	 5,6,
CID000439406	 2,5,
CID000439408	 10,
CID000439415	 5,
CID000439423	 3,9,
CID000439424	 4,
CID000439427	 1,
CID000439430	 5,
CID000439432	 1,
CID000439434	 5,
CID000439436	 3,
CID000439440	 10,
CID000439444	 1,
CID000439446	 1,
CID000439450	 4,
CID000439452	 1,
CID000439455	 1,
CID000439456	 1,
CID000439459	 1,5,
CID000439460	 5,
CID000439463	 5,
CID000439464	 8,
CID000439467	 10,
CID000439468	 1,
CID000439476	 8,
CID000439479	 3,
CID000439488	 4,
CID000439498	 6,
CID000439503	 1,
CID000439507	 1,
CID000439508	 1,
CID000439514	 10,
CID000439531	 1,
CID000439536	 1,
